method,precision@k,recall@k,ndcg@k,map@k,coverage,n_users,group
Content-Based,0.015000000000000003,0.075,0.029300204098050998,0.012142857142857143,0.26,20,Cold (3-5)
Collaborative,0.0,0.0,0.0,0.0,0.0,0,Cold (3-5)
Hybrid,0.005,0.025,0.03065735963827292,0.025,0.27076923076923076,20,Cold (3-5)
Content-Based,0.005,0.016666666666666666,0.02346393630113782,0.016666666666666666,0.2230769230769231,20,Medium (6-10)
Collaborative,0.0,0.0,0.0,0.0,0.0,0,Medium (6-10)
Hybrid,0.005,0.016666666666666666,0.007063348642991449,0.0018518518518518517,0.25846153846153846,20,Medium (6-10)
Content-Based,0.005,0.016666666666666666,0.007063348642991449,0.0018518518518518517,0.26153846153846155,20,Warm (10+)
Collaborative,0.0,0.0,0.0,0.0,0.0,0,Warm (10+)
Hybrid,0.0,0.0,0.0,0.0,0.26615384615384613,20,Warm (10+)
